,chord pairs,count
0,"['Bb:7', 'F:min']",218
1,"['Ab', 'F:min']",160
2,"['Eb:7', 'G#']",158
3,"['Eb:7', 'A#:min']",156
4,"['Eb:7', 'C:min']",147
5,"['Bb:7', 'D#']",142
6,"['Bb:7', 'G:min']",141
7,"['Bb:7', 'C#']",126
8,"['Bb:7', 'G#']",123
9,"['F:7', 'A#']",121
10,"['Bb:7', 'A#:min']",112
11,"['C:7', 'F']",107
12,"['C:7', 'G:min']",106
13,"['Eb', 'C:min']",106
14,"['F:7', 'C:min']",103
15,"['Eb:7', 'F:min']",93
16,"['Eb:7', 'G:min']",93
17,"['Ab:7', 'F:min']",92
18,"['Bb:7', 'F']",91
19,"['F:7', 'D:min']",87
